Last Name,First Name,W,OTL,SO,G,A,Salary,Points,PPM,Injured?,,,refNum
Berube,Jean-Francois,3,2,0,0,0," $675,000.00 ",8,11.8518518518519,No,,,071
Smith,Jeremy,1,1,0,0,0," $675,000.00 ",3,4.44444444444444,No,,,072
Langhamer,Marek,0,0,0,0,0," $673,334.00 ",0,0,No,,,073
Saros,Juuse,10,3,1,0,1," $667,500.00 ",26,38.9513108614232,No,,,074
Brossoit,Laurent,4,0,0,0,0," $650,000.00 ",8,12.3076923076923,No,,,075
Hellberg,Magnus,1,0,0,0,0," $650,000.00 ",2,3.07692307692308,No,,,076
Stalock,Alex,1,0,0,0,0," $650,000.00 ",2,3.07692307692308,No,,,077
Forsberg,Anton,0,0,0,0,0," $650,000.00 ",0,0,No,,,078
Budaj,Peter,30,3,7,0,1," $600,000.00 ",72,120,No,,,079
Darling,Scott,18,5,2,0,0," $600,000.00 ",43,71.6666666666667,No,,,080
Peters,Justin,0,0,0,0,0," $600,000.00 ",0,0,No,,,081
Murray,Matt,32,4,4,0,2," $575,000.00 ",76,132.173913043478,No,,,082
Condon,Mike,19,6,5,0,0," $575,000.00 ",49,85.2173913043478,No,,,083
Dell,Aaron,11,1,1,0,0," $575,000.00 ",24,41.7391304347826,No,,,084
Coreau,Jared,5,3,2,0,0," $575,000.00 ",15,26.0869565217391,No,,,085
Bachman,Richard,2,0,0,0,0," $575,000.00 ",4,6.95652173913044,No,,,086
Comrie,Eric,1,0,0,0,0," $575,000.00 ",2,3.47826086956522,No,,,087
Mazanec,Marek,0,0,0,0,1," $575,000.00 ",2,3.47826086956522,No,,,088
Jarry,Tristan,0,0,0,0,0," $575,000.00 ",0,0,No,,,089
Alves,Jorge,0,0,0,0,0,,0,0,No,,,090
Campbell,Jack,0,0,0,0,0,,0,0,No,,,091
Gudlevskis,Kristers,0,0,0,0,0,,0,0,No,,,092
Nedeljkovic,Alex,0,0,0,0,0,,0,0,No,,,093
Rittich,David,0,0,0,0,0,,0,0,No,,,094
Tokarski,Dustin,0,0,0,0,0,,0,0,No,,,095
