Last Name,First Name,Position,G,A,HT,Salary,Points,PPM,Injured?,,,refNum
Maatta,Olli,D,1,6,0," $4,083,300.00 ",8,1.95919966693606,No,No,Hornqvist,064
Gardiner,Jake,D,9,34,0," $4,050,000.00 ",52,12.8395061728395,No,No,Louis,065
Fowler,Cam,D,11,28,0," $4,000,000.00 ",50,12.5,No,No,Steen,066
Carlson,John,D,9,28,0," $4,000,000.00 ",46,11.5,No,No,Bouwmeester,067
Muzzin,Jake,D,9,19,0," $4,000,000.00 ",37,9.25,No,No,Sanford,068
Streit,Mark,D,6,21,0," $4,000,000.00 ",33,8.25,No,No,Berglund,069
Gudas,Radko,D,6,17,0," $4,000,000.00 ",29,7.25,No,No,Bay,070
Brodin,Jonas,D,3,22,0," $4,000,000.00 ",28,7,No,No,Stralman,071
Del Zotto,Michael,D,6,12,0," $4,000,000.00 ",24,6,Yes,No,Maple,072
Stone,Michael,D,3,12,0," $4,000,000.00 ",18,4.5,No,No,Lupul,073
Bieksa,Kevin,D,3,11,0," $4,000,000.00 ",17,4.25,No,No,Horton,074
DeKeyser,Danny,D,4,8,0," $4,000,000.00 ",16,4,No,No,Canucks,075
Myers,Tyler,D,2,3,0," $4,000,000.00 ",7,1.75,No,No,Gaunce,076
Martinez,Alec,D,9,30,0," $3,900,000.00 ",48,12.3076923076923,No,No,Golden,077
Gorges,Josh,D,1,5,0," $3,900,000.00 ",7,1.7948717948718,No,No,Neal,078
Braun,Justin,D,4,9,0," $3,800,000.00 ",17,4.47368421052632,Yes,No,Clarkson,079
Scandella,Marco,D,4,9,0," $3,750,000.00 ",17,4.53333333333333,No,No,Grabovski,080
Oduya,Johnny,D,2,7,0," $3,750,000.00 ",11,2.93333333333333,No,No,,081
Coburn,Braydon,D,5,7,0," $3,700,000.00 ",17,4.5945945945946,No,No,,082
Sbisa,Luca,D,2,11,0," $3,600,000.00 ",15,4.16666666666667,No,No,,083
Garrison,Jason,D,1,8,0," $3,600,000.00 ",10,2.77777777777778,No,No,,084
Savard,David,D,6,17,0," $3,500,000.00 ",29,8.28571428571429,No,No,,085
Tanev,Chris,D,2,8,0," $3,500,000.00 ",12,3.42857142857143,No,No,,086
Gudbranson,Erik,D,1,5,0," $3,500,000.00 ",7,2,No,No,,087
Fayne,Mark,D,0,2,0," $3,500,000.00 ",2,0.571428571428571,Yes,No,,088
Smith,Brendan,D,3,6,0," $3,250,000.00 ",12,3.69230769230769,No,No,,089
Stoner,Clayton,D,1,2,0," $3,250,000.00 ",4,1.23076923076923,No,No,,090
Michalek,Zbynek,D,0,0,0," $3,200,000.00 ",0,0,No,No,,091
Russell,Kris,D,1,12,0," $3,100,000.00 ",14,4.51612903225806,No,No,,092
Klefbom,Oscar,D,12,26,0," $3,000,000.00 ",50,16.6666666666667,No,No,,093
Ekholm,Mattias,D,3,20,0," $3,000,000.00 ",26,8.66666666666667,No,No,,094
Lindholm,Hampus,D,6,14,0," $3,000,000.00 ",26,8.66666666666667,No,Yes,,095
Larsson,Adam,D,4,15,0," $3,000,000.00 ",23,7.66666666666667,No,No,,096
Mcquaid,Adam,D,2,8,0," $3,000,000.00 ",12,4,No,No,,097
Kindl,Jakub,D,0,4,0," $3,000,000.00 ",4,1.33333333333333,No,No,,098
de Haan,Calvin,D,5,20,0," $2,900,000.00 ",30,10.3448275862069,No,No,,099
Gunnarsson,Carl,D,0,6,0," $2,900,000.00 ",6,2.06896551724138,No,No,,100
Murray,Ryan,D,2,9,0," $2,825,000.00 ",13,4.60176991150443,No,No,,101
Alzner,Karl,D,3,10,0," $2,800,000.00 ",16,5.71428571428571,No,No,,102
Klingberg,John,D,13,36,0," $2,750,000.00 ",62,22.5454545454545,No,No,,103
Engelland,Deryk,D,4,12,0," $2,750,000.00 ",20,7.27272727272727,No,No,,104
Klein,Kevin,D,3,11,0," $2,750,000.00 ",17,6.18181818181818,No,No,,105
Dillon,Brenden,D,2,8,0," $2,750,000.00 ",12,4.36363636363636,No,No,,106
Daley,Trevor,D,5,14,0," $2,700,000.00 ",24,8.88888888888889,No,No,,107
Stuart,Mark,D,2,2,0," $2,700,000.00 ",6,2.22222222222222,No,No,,108
Franson,Cody,D,3,16,0," $2,650,000.00 ",22,8.30188679245283,No,No,,109
Despres,Simon,D,0,0,0," $2,600,000.00 ",0,0,No,No,,110
Orlov,Dmitry,D,6,27,0," $2,570,000.00 ",39,15.1750972762646,No,No,,111
Ellis,Ryan,D,16,22,0," $2,500,000.00 ",54,21.6,No,Yes,,112
Trouba,Jacob,D,8,25,0," $2,500,000.00 ",41,16.4,No,No,,113
Hainsey,Ron,D,4,13,0," $2,500,000.00 ",21,8.4,Yes,No,,114
Schlemko,David,D,2,16,0," $2,500,000.00 ",20,8,No,Yes,,115
Miller,Kevan,D,3,10,0," $2,500,000.00 ",16,6.4,No,No,,116
Lovejoy,Ben,D,1,6,0," $2,500,000.00 ",8,3.2,No,No,,117
Greene,Matt,D,1,1,0," $2,500,000.00 ",3,1.2,Yes,No,,118
Murphy,Connor,D,2,15,0," $2,400,000.00 ",19,7.91666666666667,No,No,,119
Dumba,Matt,D,11,23,0," $2,350,000.00 ",45,19.1489361702128,No,No,,120
Cole,Ian,D,5,21,0," $2,300,000.00 ",31,13.4782608695652,No,No,,121
Hickey,Thomas,D,4,16,0," $2,250,000.00 ",24,10.6666666666667,No,No,,122
Ceci,Cody,D,2,15,0," $2,250,000.00 ",19,8.44444444444444,No,No,,123
Polak,Roman,D,4,7,0," $2,250,000.00 ",15,6.66666666666667,No,No,,124
Schultz,Nick,D,0,4,0," $2,250,000.00 ",4,1.77777777777778,No,No,,125
Tyutin,Fedor,D,1,12,0," $2,000,000.00 ",14,7,No,No,,126
Liles,John-Michael,D,0,5,0," $2,000,000.00 ",5,2.5,No,No,,127
Moore,John,D,12,10,0," $1,750,000.00 ",34,19.4285714285714,No,No,,128
Holden,Nick,D,11,23,0," $1,650,000.00 ",45,27.2727272727273,No,No,,129
Gelinas,Eric,D,0,1,0," $1,650,000.00 ",1,0.606060606060606,Yes,No,,130
Sustr,Andrej,D,3,11,0," $1,600,000.00 ",17,10.625,No,No,,131
McNabb,Brayden,D,2,2,0," $1,600,000.00 ",6,3.75,No,No,,132
Campbell,Brian,D,5,12,0," $1,500,000.00 ",22,14.6666666666667,No,No,,133
Schultz,Justin,D,12,39,0," $1,400,000.00 ",63,45,No,No,,134
Gilbert,Tom,D,1,4,0," $1,400,000.00 ",6,4.28571428571429,No,No,,135
Marchenko,Alexey,D,1,7,0," $1,300,000.00 ",9,6.92307692307692,No,No,,136
Davidson,Brandon,D,0,3,0," $1,300,000.00 ",3,2.30769230769231,No,No,,137
McCabe,Jake,D,3,17,0," $1,250,000.00 ",23,18.4,No,No,,138
Pysyk,Mark,D,4,13,0," $1,250,000.00 ",21,16.8,No,No,,139
Quincey,Kyle,D,6,9,0," $1,250,000.00 ",21,16.8,No,No,,140
Prout,Dalton,D,0,6,0," $1,250,000.00 ",6,4.8,No,No,,141
Hunwick,Matt,D,1,18,0," $1,200,000.00 ",20,16.6666666666667,No,No,,142
Petrovic,Alex,D,1,13,0," $1,200,000.00 ",15,12.5,No,No,,143
Marincin,Martin,D,1,6,0," $1,200,000.00 ",8,6.66666666666667,No,No,,144
Benn,Jordie,D,4,13,0," $1,100,000.00 ",21,19.0909090909091,No,No,,145
Borowiecki,Mark,D,1,2,0," $1,100,000.00 ",4,3.63636363636364,No,No,,146
Bortuzzo,Robert,D,1,3,0," $1,050,000.00 ",5,4.76190476190476,No,No,,147
Larsen,Philip,D,1,5,0," $1,025,000.00 ",7,6.82926829268293,No,No,,148
Beaulieu,Nathan,D,4,24,0," $1,000,000.00 ",32,32,No,No,,149
Seidenberg,Dennis,D,5,17,0," $1,000,000.00 ",27,27,No,No,,150
Schenn,Luke,D,1,7,1," $1,000,000.00 ",10,10,No,No,,151
Merrill,Jon,D,1,5,0," $1,000,000.00 ",7,7,No,No,,152
Manning,Brandon,D,3,9,0," $950,000.00 ",15,15.7894736842105,Yes,No,,153
Gryba,Eric,D,2,4,0," $950,000.00 ",8,8.42105263157895,No,No,,154
Connauton,Kevin,D,0,1,0," $950,000.00 ",1,1.05263157894737,No,No,,155
Werenski,Zach,D,11,36,0," $925,000.00 ",58,62.7027027027027,No,No,,156
Gostisbehere,Shayne,D,7,32,0," $925,000.00 ",46,49.7297297297297,No,No,,157
Skjei,Brady,D,5,34,0," $925,000.00 ",44,47.5675675675676,No,No,,158
Zaitsev,Nikita,D,4,32,0," $925,000.00 ",40,43.2432432432432,No,No,,159
Parayko,Colton,D,4,31,0," $925,000.00 ",39,42.1621621621622,No,No,,160
Provorov,Ivan,D,6,24,0," $925,000.00 ",36,38.9189189189189,No,No,,161
Hanifin,Noah,D,4,25,0," $925,000.00 ",33,35.6756756756757,No,No,,162
Ekblad,Aaron,D,10,11,0," $925,000.00 ",31,33.5135135135135,No,No,,163
Chychrun,Jakob,D,7,13,0," $925,000.00 ",27,29.1891891891892,Yes,Yes,,164
Stecher,Troy,D,3,21,0," $925,000.00 ",27,29.1891891891892,No,No,,165
Hutton,Ben,D,5,14,0," $925,000.00 ",24,25.9459459459459,No,No,,166
Matheson,Michael,D,7,10,0," $925,000.00 ",24,25.9459459459459,No,No,,167
Deangelo,Anthony,D,5,9,0," $925,000.00 ",19,20.5405405405405,No,No,,168
Benning,Matthew,D,3,12,0," $925,000.00 ",18,19.4594594594595,Yes,No,,169
Postma,Paul,D,1,13,0," $925,000.00 ",15,16.2162162162162,No,No,,170
Pelech,Adam,D,3,7,0," $925,000.00 ",13,14.0540540540541,No,No,,171
Tryamkin,Nikita,D,2,7,0," $925,000.00 ",11,11.8918918918919,No,No,,172
Santini,Steven,D,2,5,0," $925,000.00 ",9,9.72972972972973,No,No,,173
Ladue,Paul,D,0,8,0," $925,000.00 ",8,8.64864864864865,No,No,,174
Montour,Brandon,D,2,4,0," $925,000.00 ",8,8.64864864864865,No,No,,175
Honka,Julius,D,1,4,0," $925,000.00 ",6,6.48648648648649,No,No,,176
Olofsson,Gustav,D,0,3,0," $925,000.00 ",3,3.24324324324324,No,No,,177
Reilly,Mike,D,1,0,0," $925,000.00 ",2,2.16216216216216,No,No,,178
Schmaltz,Jordan,D,0,2,0," $925,000.00 ",2,2.16216216216216,No,No,,179
Carlsson,Gabriel,D,0,1,0," $925,000.00 ",1,1.08108108108108,No,No,,180
McCoshen,Ian,D,0,1,0," $925,000.00 ",1,1.08108108108108,No,No,,181
Chabot,Thomas,D,0,0,0," $925,000.00 ",0,0,No,No,,182
Hagg,Robert,D,0,0,0," $925,000.00 ",0,0,No,No,,183
Kapla,Michael,D,0,0,0," $925,000.00 ",0,0,No,No,,184
Larsson,Jacob,D,0,0,0," $925,000.00 ",0,0,No,No,,185
Megna,Jaycob,D,0,0,0," $925,000.00 ",0,0,No,No,,186
O'Gara,Rob,D,0,0,0," $925,000.00 ",0,0,No,No,,187
Sergachev,Mikhail,D,0,0,0," $925,000.00 ",0,0,No,No,,188
Simpson,Dillon,D,0,0,0," $925,000.00 ",0,0,No,No,,189
White,Colin,C/D,0,0,0," $925,000.00 ",0,0,No,Yes,,190
Oleksiak,Jamie,D,5,2,0," $918,750.00 ",12,13.0612244897959,No,No,,191
Miller,Colin,D,6,7,0," $900,000.00 ",19,21.1111111111111,No,No,,192
Edmundson,Joel,D,3,12,0," $900,000.00 ",18,20,No,No,,193
Jokipakka,Jyrki,D,1,5,0," $900,000.00 ",7,7.77777777777778,No,No,,194
Nemeth,Patrik,D,0,3,0," $900,000.00 ",3,3.33333333333333,No,No,,195
Schmidt,Nate,D,3,14,0," $875,000.00 ",20,22.8571428571429,No,No,,196
Siemens,Duncan,D,0,0,0," $874,125.00 ",0,0,No,No,,197
Chiarot,Ben,D,2,10,0," $850,000.00 ",14,16.4705882352941,No,No,,198
Folin,Christian,D,2,6,0," $850,000.00 ",10,11.7647058823529,No,No,,199
Morrissey,Josh,D,6,14,0," $832,500.00 ",26,31.2312312312312,No,No,,200
Nurse,Darnell,D,5,6,0," $832,500.00 ",16,19.2192192192192,No,No,,201
Theodore,Shea,D,2,7,0," $832,500.00 ",11,13.2132132132132,No,No,,202
Zadorov,Nikita,D,0,10,0," $832,500.00 ",10,12.012012012012,No,No,,203
Koekkoek,Slater,D,0,4,0," $832,500.00 ",4,4.80480480480481,No,No,,204
Mueller,Mirco,D,1,1,0," $832,500.00 ",3,3.6036036036036,No,No,,205
Morin,Samuel,D,0,0,0," $832,500.00 ",0,0,No,No,,206
Pouliot,Derrick,D,0,0,0," $832,500.00 ",0,0,No,No,,207
Pulock,Ryan,D,0,0,0," $832,500.00 ",0,0,No,No,,208
Manson,Josh,D,5,12,0," $825,000.00 ",22,26.6666666666667,No,No,,209
Lindell,Esa,D,6,12,0," $802,500.00 ",24,29.9065420560748,No,No,,210
Wideman,Chris,D,5,12,0," $800,000.00 ",22,27.5,No,No,,211
Dumoulin,Brian,D,1,14,0," $800,000.00 ",16,20,No,No,,212
Wiercioch,Patrick,D,4,8,0," $800,000.00 ",16,20,No,No,,213
Barberio,Mark,D,2,11,0," $800,000.00 ",15,18.75,No,No,,214
Goloubef,Cody,D,0,5,0," $800,000.00 ",5,6.25,No,No,,215
McIlrath,Dylan,D,1,0,0," $800,000.00 ",2,2.5,No,No,,216
Morrow,Joe,D,0,1,0," $800,000.00 ",1,1.25,No,No,,217
Pesce,Brett,D,2,18,0," $792,500.00 ",22,27.7602523659306,Yes,No,,218
Nutivaara,Markus,D,2,5,0," $792,500.00 ",9,11.3564668769716,No,No,,219
Auvitu,Yohann,D/LW,2,2,0," $792,500.00 ",6,7.57097791798107,No,No,,220
Grzelcyk,Matt,D,0,0,0," $792,500.00 ",0,0,Yes,No,,221
Chorney,Taylor,D,1,4,0," $775,000.00 ",6,7.74193548387097,No,No,,222
Heed,Tim,D,0,0,0," $775,000.00 ",0,0,No,No,,223
Forsling,Gustav,D,2,3,0," $767,500.00 ",7,9.12052117263844,No,No,,224
van Riemsdyk,Trevor,D,5,11,0," $750,000.00 ",21,28,No,No,,225
Pateryn,Greg,D,1,8,0," $750,000.00 ",10,13.3333333333333,No,No,,226
Dahlbeck,Klas,D,2,4,0," $750,000.00 ",8,10.6666666666667,No,No,,227
Murphy,Ryan,D,0,2,0," $750,000.00 ",2,2.66666666666667,No,No,,228
Slavin,Jaccob,D,5,29,1," $742,500.00 ",40,53.8720538720539,No,No,,229
Andersson,Rasmus,D,0,0,0," $742,500.00 ",0,0,No,No,,230
Englund,Andreas,D,0,0,0," $742,500.00 ",0,0,No,No,,231
Nesterov,Nikita,D,4,13,0," $725,000.00 ",21,28.9655172413793,No,No,,232
Carlo,Brandon,D,6,10,0," $717,500.00 ",22,30.6620209059233,No,No,,233
Ouellet,Xavier,D,3,9,0," $715,000.00 ",15,20.979020979021,No,No,,234
Weegar,Mackenzie,D,0,0,0," $705,000.00 ",0,0,No,No,,235
Claesson,Fredrik,D,3,8,0," $700,000.00 ",14,20,No,No,,236
Holzer,Korbinian,D,2,5,0," $700,000.00 ",9,12.8571428571429,No,No,,237
Biega,Alex,D,0,3,0," $700,000.00 ",3,4.28571428571429,No,No,,238
Johnston,Ryan,D,0,0,0," $692,500.00 ",0,0,No,No,,239
Renouf,Dan,D,0,0,0," $692,500.00 ",0,0,No,No,,240
Russo,Robbie,D,0,0,0," $692,500.00 ",0,0,No,No,,241
Kulak,Brett,D,0,3,0," $680,000.00 ",3,4.41176470588235,No,No,,242
Tennyson,Matt,D,0,6,0," $675,000.00 ",6,8.88888888888889,No,No,,243
Gravel,Kevin,D,1,6,0," $667,500.00 ",8,11.9850187265918,No,No,,244
Guhle,Brendan,D,0,0,0," $667,500.00 ",0,0,No,No,,245
Lindholm,Anton,D,0,0,0," $667,500.00 ",0,0,No,Yes,,246
Lernout,Brett,D,0,0,0," $660,000.00 ",0,0,No,No,,247
Harpur,Ben,D,0,0,0," $655,000.00 ",0,0,No,No,,248
Forbort,Derek,D,2,16,0," $650,000.00 ",20,30.7692307692308,No,No,,249
Johns,Stephen,D,4,6,0," $650,000.00 ",14,21.5384615384615,No,No,,250
Carrick,Connor,D,2,6,0," $650,000.00 ",10,15.3846153846154,No,No,,251
Prosser,Nate,D,2,5,0," $650,000.00 ",9,13.8461538461538,No,No,,252
Falk,Justin,D,0,8,0," $650,000.00 ",8,12.3076923076923,No,No,,253
Lashoff,Brian,D,0,0,0," $650,000.00 ",0,0,No,No,,254
McBain,Jamie,D,0,0,0," $650,000.00 ",0,0,No,No,,255
Nelson,Casey,D,0,0,0," $650,000.00 ",0,0,No,No,,256
Nogier,Nelson,D,0,0,0," $650,000.00 ",0,0,No,No,,257
Lindbohm,Petteri,D,0,0,0," $645,000.00 ",0,0,No,No,,258
Carrier,Alex,D,0,0,0," $640,000.00 ",0,0,No,No,,259
Austin,Brady,D,0,0,0," $635,000.00 ",0,0,No,No,,260
Harrington,Scott,D,1,2,0," $632,500.00 ",4,6.32411067193676,No,No,,261
Kampfer,Steven,D,1,1,0," $625,000.00 ",3,4.8,No,No,,262
Wotherspoon,Tyler,D,0,0,0," $625,000.00 ",0,0,No,No,,263
Dotchin,Jake,D,0,11,0," $615,000.00 ",11,17.8861788617886,No,No,,264
Severson,Damon,D,3,28,0," $600,000.00 ",34,56.6666666666667,No,No,,265
