Last Name,First Name,Position,G,A,HT,Salary,Points,PPM,Injured?,,,refNum
Burns,Brent,D/RW,29,47,0," $5,760,000.00 ",105,18.2291666666667,No,No,Penguins,063
Benn,Jamie,LW,26,43,0," $5,750,000.00 ",95,16.5217391304348,No,No,Hornqvist,064
Saad,Brandon,LW/RW,24,29,0," $5,750,000.00 ",77,13.3913043478261,No,No,Louis,065
Radulov,Alex,RW,18,36,0," $5,750,000.00 ",72,12.5217391304348,No,No,Steen,066
Anisimov,Artem,C/LW,22,23,0," $5,750,000.00 ",67,11.6521739130435,No,No,Bouwmeester,067
Foligno,Nick,LW/RW,26,25,0," $5,500,000.00 ",77,14,No,No,Sanford,068
Landeskog,Gabriel,LW,18,15,0," $5,500,000.00 ",51,9.27272727272727,No,No,Berglund,069
Shaw,Andrew,C/LW/RW,12,17,0," $5,500,000.00 ",41,7.45454545454545,No,Yes,Bay,070
Abdelkader,Justin,LW/RW,7,14,0," $5,500,000.00 ",28,5.09090909090909,No,Yes,Stralman,071
Koivu,Mikko,C,18,40,0," $5,400,000.00 ",76,14.0740740740741,No,No,Maple,072
Schwartz,Jaden,LW/C,19,36,0," $5,250,000.00 ",74,14.0952380952381,No,No,Lupul,073
Boedker,Mikkel,LW/RW,10,16,1," $5,200,000.00 ",37,7.11538461538462,Yes,No,Horton,074
Marchand,Brad,LW/C,39,46,1," $5,000,000.00 ",125,25,No,No,Canucks,075
Scheifele,Mark,C,32,50,0," $5,000,000.00 ",114,22.8,No,No,Gaunce,076
Pacioretty,Max,LW,35,32,1," $5,000,000.00 ",103,20.6,No,No,Golden,077
Kadri,Nazem,C,32,29,0," $5,000,000.00 ",93,18.6,No,No,Neal,078
van Riemsdyk,James,LW,29,33,0," $5,000,000.00 ",91,18.2,No,No,Clarkson,079
Kreider,Chris,LW/C,28,25,1," $5,000,000.00 ",82,16.4,No,No,Grabovski,080
MacKinnon,Nathan,C/RW,16,37,0," $5,000,000.00 ",69,13.8,No,No,,081
Little,Bryan,C/RW,21,26,0," $5,000,000.00 ",68,13.6,No,No,,082
Neal,James,RW/LW,23,18,0," $5,000,000.00 ",64,12.8,No,Yes,,083
Frolik,Michael,RW/C,17,27,0," $5,000,000.00 ",61,12.2,No,No,,084
Filppula,Valtteri,C/LW,12,30,0," $5,000,000.00 ",54,10.8,No,No,,085
Brassard,Derick,C,14,25,0," $5,000,000.00 ",53,10.6,No,Yes,,086
Hartnell,Scott,LW,13,24,1," $5,000,000.00 ",51,10.2,No,No,,087
Moulson,Matt,LW,14,18,0," $5,000,000.00 ",46,9.2,No,No,,088
Cammalleri,Mike,LW/C,10,21,1," $5,000,000.00 ",42,8.4,No,No,,089
Iginla,Jarome,RW,14,13,0," $5,000,000.00 ",41,8.2,No,No,,090
Sharp,Patrick,LW/RW/C,8,10,0," $5,000,000.00 ",26,5.2,No,No,,091
Helm,Darren,C,8,9,0," $5,000,000.00 ",25,5,No,No,,092
Hornqvist,Patric,RW,21,23,0," $4,750,000.00 ",65,13.6842105263158,No,Yes,,093
Soderberg,Carl,C/LW,6,8,0," $4,750,000.00 ",20,4.21052631578947,No,No,,094
Oshie,T.J.,RW/C,33,23,1," $4,500,000.00 ",90,20,No,No,,095
Palmieri,Kyle,RW/C/LW,26,27,0," $4,500,000.00 ",79,17.5555555555556,No,No,,096
